lib,N,axes,edims,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
ort,1000,"(2,)","(10, 10)",20,10,0.00042863376438617706,0.001321825198829174,0.00043459050357341766,0.0007771430537104607,0.0005569774657487869,0.00042863376438617706,0.001035897448056197,20,0.00044186459854245186,0
npy,1000,"(2,)","(10, 10)",20,10,0.0016322871670126915,0.0017856433987617493,0.0016373218968510628,0.0016638543456792831,0.0016558328177779913,0.0016322871670126915,0.0017183457074915268,20,0.0016495529562234879,0
rtpy,1000,"(2,)","(10, 10)",20,10,0.0016859760507941246,0.0017149029299616814,0.00168714951723814,0.0017125383019447327,0.0016978186555206775,0.0016859760507941246,0.0017149029299616814,20,0.0016917986795306206,0
tf,1000,"(2,)","(10, 10)",20,10,0.0013723969459533691,0.0015789717435836792,0.0013758521527051926,0.0014045247808098793,0.0013943767175078393,0.0013723969459533691,0.0014794335175826953,20,0.001382267102599144,0
torch,1000,"(2,)","(10, 10)",20,10,0.0004568565636873245,0.0005662869662046432,0.00045853108167648315,0.000524468719959259,0.0004746689461171627,0.0004568565636873245,0.0005353049444019797,20,0.0004606950096786022,0
ort,2000,"(2,)","(10, 10)",20,10,0.0006356379017233849,0.0008111316710710526,0.0006431359797716141,0.0007141372188925743,0.0006711093243211508,0.0006356379017233849,0.0007510349075377743,20,0.0006620832718908787,0
npy,2000,"(2,)","(10, 10)",20,10,0.003126499243080616,0.003255115821957588,0.0031443852931261063,0.003168501891195774,0.0031585046555846928,0.003126499243080616,0.0032072130722380493,20,0.0031541986390948296,0
rtpy,2000,"(2,)","(10, 10)",20,10,0.003172682598233223,0.0032162684947252274,0.0031921332702040672,0.0032072262838482857,0.0031977197621017696,0.0031767472007910775,0.0032162684947252274,20,0.003199502360075712,0
tf,2000,"(2,)","(10, 10)",20,10,0.0014393124729394913,0.0037608835846185684,0.0015383828431367874,0.002367135137319565,0.0019054734613746405,0.0014393124729394913,0.0029391209780784125,20,0.001683996059000492,0
torch,2000,"(2,)","(10, 10)",20,10,0.000781375914812088,0.0009279213845729828,0.0007866937667131424,0.000865190289914608,0.0008153136819601059,0.000781375914812088,0.0008879026089586395,20,0.0008037085644900799,0
ort,5000,"(2,)","(10, 10)",20,10,0.0012186290696263313,0.0015418818220496178,0.0012210644781589508,0.0014346623793244362,0.001293444074690342,0.0012186290696263313,0.0014697612924420812,20,0.001266716979444027,0
npy,5000,"(2,)","(10, 10)",20,10,0.007661464624106884,0.007954346016049385,0.007677268236875534,0.00774791557341814,0.007715022889897227,0.007661464624106884,0.007861517644608516,20,0.0076907118782401085,0
rtpy,5000,"(2,)","(10, 10)",20,10,0.007697084918618202,0.007769490592181683,0.007705573923885822,0.00774555467069149,0.007723153568804264,0.007697084918618202,0.007758124728079569,20,0.007720531430095434,0
tf,5000,"(2,)","(10, 10)",20,10,0.001867726445198059,0.0036730775609612465,0.0019014682620763779,0.0022750040516257286,0.0021348373498767613,0.001867726445198059,0.002930283895394274,20,0.002019998151808977,0
torch,5000,"(2,)","(10, 10)",20,10,0.001565263606607914,0.0018318146467208862,0.0015881815925240517,0.0017287097871303558,0.0016429507173597812,0.001565263606607914,0.0017818431883277245,20,0.001626678742468357,0
ort,1,"(2,)","(100, 50)",20,10,0.00018252339214086533,0.000248895026743412,0.00018331129103899002,0.0001922203227877617,0.0001886623911559582,0.00018252339214086533,0.00021752226356141685,20,0.00018400326371192932,0
npy,1,"(2,)","(100, 50)",20,10,0.00011980440467596054,0.00013852305710315704,0.00012021977454423904,0.00012881122529506683,0.00012403950095176696,0.00011980440467596054,0.00013273598969052063,20,0.00012361537665128708,0
rtpy,1,"(2,)","(100, 50)",20,10,0.00016953609883785248,0.00018118321895599365,0.00017011724412441254,0.0001720339059829712,0.00017181816510856152,0.00016953609883785248,0.00017744399511653128,20,0.00017112493515014648,0
tf,1,"(2,)","(100, 50)",20,10,0.0007855454459786415,0.000969715416431427,0.0007881522178649902,0.000817236490547657,0.0008149028290063143,0.0007855454459786415,0.0008875656719793878,20,0.000810340978205204,0
torch,1,"(2,)","(100, 50)",20,10,0.00011771824210882187,0.00013825390487909317,0.00011843536049127579,0.00012181699275970459,0.00012102453038096428,0.00011771824210882187,0.00012935575671422798,20,0.00012008147314190865,0
ort,10,"(2,)","(100, 50)",20,10,0.0002370886504650116,0.0003376416862010956,0.00023841764777898788,0.00024689920246601105,0.00024693645536899567,0.0002370886504650116,0.0002883120547717262,20,0.0002419031225144863,0
npy,10,"(2,)","(100, 50)",20,10,0.0003784922882914543,0.0004139235243201256,0.00037936028093099594,0.00040285661816596985,0.00038592773489654064,0.0003784922882914543,0.00040644952481786644,20,0.0003801705315709114,0
rtpy,10,"(2,)","(100, 50)",20,10,0.0004259096458554268,0.0004510292783379555,0.0004264684394001961,0.0004388885572552681,0.0004302944056689739,0.0004259096458554268,0.000444473185842566,20,0.0004274747334420681,0
tf,10,"(2,)","(100, 50)",20,10,0.0008869972079992294,0.0010464238002896309,0.0008915159851312637,0.0009205769747495651,0.000907872524112463,0.0008869972079992294,0.0009741498999549519,20,0.0008966438472270966,0
torch,10,"(2,)","(100, 50)",20,10,0.00020067952573299408,0.00034862197935581207,0.00020247045904397964,0.0002523595467209816,0.00021845330484211446,0.00020067952573299408,0.00028554379270112206,20,0.00020435219630599022,0
ort,100,"(2,)","(100, 50)",20,10,0.0006104698404669762,0.0009424984455108643,0.0006154794245958328,0.0007213717326521873,0.0006596607156097889,0.0006104698404669762,0.0008116482135156383,20,0.0006250333972275257,0
npy,100,"(2,)","(100, 50)",20,10,0.0026596998795866966,0.0027723321691155434,0.002672385424375534,0.00270969420671463,0.0026923134457319973,0.0026596998795866966,0.002738926892562594,20,0.002694872673600912,0
rtpy,100,"(2,)","(100, 50)",20,10,0.0027027223259210587,0.0027697021141648293,0.002718605101108551,0.002759108319878578,0.0027365417219698427,0.0027027223259210587,0.0027697021141648293,20,0.0027402513660490513,0
tf,100,"(2,)","(100, 50)",20,10,0.0014063036069273949,0.0034937160089612007,0.0014440715312957764,0.0020311372354626656,0.001655592117458582,0.0014063036069273949,0.002550517440905305,20,0.0015001394785940647,0
torch,100,"(2,)","(100, 50)",20,10,0.0007565971463918686,0.0009251963347196579,0.0007605049759149551,0.0008763596415519714,0.0007964664604514837,0.0007565971463918686,0.0008964988051677898,20,0.0007706759497523308,0
ort,1000,"(2,)","(100, 50)",20,10,0.009395547211170197,0.01035141758620739,0.009480148553848267,0.01028614491224289,0.009802345186471939,0.009395547211170197,0.01035141758620739,20,0.009751587174832821,0
npy,1000,"(2,)","(100, 50)",20,10,0.026336566545069218,0.026955599896609783,0.026402456685900688,0.026631967164576054,0.026483283331617712,0.026336566545069218,0.026759698029859565,20,0.02643435448408127,0
rtpy,1000,"(2,)","(100, 50)",20,10,0.026490379124879837,0.027562030591070652,0.026525034569203854,0.026811017654836178,0.026651960564777255,0.026490379124879837,0.0271036765824028,20,0.02657890086993575,0
tf,1000,"(2,)","(100, 50)",20,10,0.010908987373113632,0.012175451964139938,0.011123578995466232,0.011788426898419857,0.011344819655641913,0.010908987373113632,0.01194284881247731,20,0.011267894878983498,0
torch,1000,"(2,)","(100, 50)",20,10,0.009480871260166168,0.010379998944699764,0.00963671039789915,0.0100026810541749,0.009826071560382843,0.009480871260166168,0.010254967852633976,20,0.009791804477572441,0
